raw_comp_writers_text,CLEAN_TEXT,normalized_text
河越重義/米倉利徳,,
Selections,,Selections
Norrie Paramor,Norrie Paramor,Norrie Paramor
Davy Tam/He Chi Hong/Leung May May,Davy Tam/He Chi Hong/Leung May May,Davy Tam/He Chi Hong/Leung May May
Arda Unverdi,Arda Unverdi,Arda Unverdi
Ái Vân,,Ái Vân
Magnus Birgersson,Magnus Birgersson,Magnus Birgersson
Tonia Poppen,Tonia Poppen,Tonia Poppen
Franz Schubert/[anonymous],Franz Schubert,Franz Schubert/[anonymous]
"Bebe Rexha, David Guetta, Gianfranco Randone, Camille Purcell, Massimo Gabutti, Maurizio Lobina & Philip Plested",Bebe Rexha/David Guetta/Gianfranco Randone/Camille Purcell/Massimo Gabutti/Maurizio Lobina/Philip Plested,Bebe Rexha/David Guetta/Gianfranco Randone/Camille Purcell/Massimo Gabutti/Maurizio Lobina/Philip Plested
Dave Genn/Ben Larsen/Jamie Warnock/Hudson Partridge,Dave Genn/Ben Larsen/Jamie Warnock/Hudson Partridge,Dave Genn/Ben Larsen/Jamie Warnock/Hudson Partridge
Alain Guerry/Lido Melodies/Jacob Desvarieux,Alain Guerry/Jacob Desvarieux,Alain Guerry/Lido Melodies/Jacob Desvarieux
Arrigo Boito/Giuseppe Verdi,Arrigo Boito/Giuseppe Verdi,Arrigo Boito/Giuseppe Verdi
"<Unknown>/Frost, Kirk",Frost/Kirk,Frost/Kirk
"Kyle Girard,Tyler Carter,Sheek Louch",Kyle Girard/Tyler Carter/Sheek Louch,Kyle Girard/Tyler Carter/Sheek Louch
Christiaan Syddall,Christiaan Syddall,Christiaan Syddall
Justin Morell,Justin Morell,Justin Morell
Luke Winslow‐King,Luke Winslow‐King,Luke Winslow‐King
José Alfredo Jiménez,José Alfredo Jiménez,José Alfredo Jiménez
Jeff Nordley,Jeff Nordley,Jeff Nordley
"<Unknown>/Pagan mateo, Hector",Pagan mateo/Hector,Pagan mateo/Hector
Roger Glover/Cozy Powell/Ritchie Blackmore,Roger Glover/Cozy Powell/Ritchie Blackmore,Roger Glover/Cozy Powell/Ritchie Blackmore
栗原暁/久保田真悟/杉山勝彦,,
Grupo Los New Hits,Grupo Los New Hits,Grupo Los New Hits
"Wendy Addo, Charles Nii Armah Mensah & Ricky Nana Agyeman",Wendy Addo/Charles Nii Armah Mensah/Ricky Nana Agyeman,Wendy Addo/Charles Nii Armah Mensah/Ricky Nana Agyeman
Alex Ranerro,Alex Ranerro,Alex Ranerro
Richard Mohr,Richard Mohr,Richard Mohr
Barry Black/Brian Chatton,Barry Black/Brian Chatton,Barry Black/Brian Chatton
"<Unknown>/MANZUETA, luis ALEXIS",,MANZUETA/luis ALEXIS
Josh Hardy/Phoebe Lou/DJ Frank E/Charlie Puth/Wiz Khalifa/Dann Hume/Andrew Cedar,Josh Hardy/Phoebe Lou/DJ Frank E/Charlie Puth/Wiz Khalifa/Dann Hume/Andrew Cedar,Josh Hardy/Phoebe Lou/DJ Frank E/Charlie Puth/Wiz Khalifa/Dann Hume/Andrew Cedar
May/Taylor/Waller/Lupus Music Company Ltd,May/Taylor/Waller,May/Taylor/Waller/Lupus Music Company Ltd
Güero sin fe/Greñudo/Hongo/Pinche Peach/Jr. Hozicon/Fantasma/Asesino/Juan Brujo,Güero sin fe/Greñudo/Hongo/Pinche Peach/Jr. Hozicon/Fantasma/Asesino/Juan Brujo,Güero sin fe/Greñudo/Hongo/Pinche Peach/Jr. Hozicon/Fantasma/Asesino/Juan Brujo
Alhousseini Anivolla,,Alhousseini Anivolla
"Austin Bryson, Abel Swazo, TRIP DROP & SWaZ",,Austin Bryson/Abel Swazo/TRIP DROP/SWaZ
Curtis Mayfield,Curtis Mayfield,Curtis Mayfield
Kenya Grace,Kenya Grace,Kenya Grace
"Ann Marie,Hypno Carlito",Ann Marie/Hypno Carlito,Ann Marie/Hypno Carlito
Robert Hunter/Jerry Garcia/Phil Lesh,Robert Hunter/Jerry Garcia/Phil Lesh,Robert Hunter/Jerry Garcia/Phil Lesh
GARZA ARMANDO/GARZA TIFFANY,GARZA ARMANDO/GARZA TIFFANY,GARZA ARMANDO/GARZA TIFFANY
The Knife,The Knife,The Knife
Manuel Camacho H.,Manuel Camacho H.,Manuel Camacho H.
D. Venn/B. Humble/M. Cantor/A. Harvey,D. Venn/B. Humble/M. Cantor/A. Harvey,D. Venn/B. Humble/M. Cantor/A. Harvey
Conquest,,Conquest
Louis Busch/Allan Sherman,Louis Busch/Allan Sherman,Louis Busch/Allan Sherman
"Pitbull,Rihanna",Pitbull/Rihanna,Pitbull/Rihanna
"A.B.Z,Tohi",A.B.Z/Tohi,A.B.Z/Tohi
Tomasz Oreł & Łukasz Skalik,Tomasz Oreł/Łukasz Skalik,Tomasz Oreł/Łukasz Skalik
"Boutross Munene, Godson Epelle & Juicee Mann",Boutross Munene/Godson Epelle/Juicee Mann,Boutross Munene/Godson Epelle/Juicee Mann
Phil Lesh/Robert Petersen,Phil Lesh/Robert Petersen,Phil Lesh/Robert Petersen
Luke Beavon/Copyright Control (PRS),Luke Beavon,Luke Beavon
CHRISTENSEN SIMON EDWARD,CHRISTENSEN SIMON EDWARD,CHRISTENSEN SIMON EDWARD
A. Alguero/A Guijarro,A. Alguero/A Guijarro,A. Alguero/A Guijarro
VIZE/Joker Bra/Leonie Burger,VIZE/Joker Bra/Leonie Burger,VIZE/Joker Bra/Leonie Burger
Oludipe Oluwasanmi David/Spyro,Oludipe Oluwasanmi David/Spyro,Oludipe Oluwasanmi David/Spyro
King Crimson/Adrian Belew,King Crimson/Adrian Belew,King Crimson/Adrian Belew
Billy Sheehan/Richie Kotzen/Mike Portnoy,Billy Sheehan/Richie Kotzen/Mike Portnoy,Billy Sheehan/Richie Kotzen/Mike Portnoy
Jim Beanz/Craig David,Jim Beanz/Craig David,Jim Beanz/Craig David
Ayadinuno Okechukwu Obiora/Nuno Zigi,Ayadinuno Okechukwu Obiora/Nuno Zigi,Ayadinuno Okechukwu Obiora/Nuno Zigi
Gilberto Gil/João Donato/Taeko Ohnuki/Shigeki Miyata,Gilberto Gil/João Donato/Taeko Ohnuki/Shigeki Miyata,Gilberto Gil/João Donato/Taeko Ohnuki/Shigeki Miyata
Sounds of Life,Sounds of Life,Sounds of Life
David Saxon/Sammy Gallop,David Saxon/Sammy Gallop,David Saxon/Sammy Gallop
Luis de Narváez,Luis de Narváez,Luis de Narváez
"<Unknown>/sosi, yoni",sosi/yoni,sosi/yoni
Robert Lane Sadler & Diana G Garcia,Robert Lane Sadler/Diana G Garcia,Robert Lane Sadler/Diana G Garcia
Ignazio Russo & Chico Mario,Ignazio Russo/Chico Mario,Ignazio Russo/Chico Mario
Isis Montemayor Garza,Isis Montemayor Garza,Isis Montemayor Garza
"J-Dog,Drew Fulk,Funny Man,Johnny 3 Tears,Charlie Scene,Daniel “Danny” Murillo",J-Dog/Drew Fulk/Funny Man/Johnny 3 Tears/Charlie Scene/Daniel “Danny” Murillo,J-Dog/Drew Fulk/Funny Man/Johnny 3 Tears/Charlie Scene/Daniel “Danny” Murillo
Alfonso Santisteban,Alfonso Santisteban,Alfonso Santisteban
Sergio Marqués,Sergio Marqués,Sergio Marqués
"Playboi Carti,Pi’erre Bourne",Playboi Carti/Pi’erre Bourne,Playboi Carti/Pi’erre Bourne
"Universal Duchess Music Corporation/Don D Robey, Oscar Lee Perry, F. Washington",Don D Robey/Oscar Lee Perry/F. Washington,Universal Duchess Music Corporation/Don D Robey/Oscar Lee Perry/F. Washington
Francisco Orantes/Heaven Publishing/Musical Miguel Ángel Villagran,Francisco Orantes,Francisco Orantes/Heaven Publishing/Musical Miguel Ángel Villagran
Matthew Cox/Patrick Feeley,Matthew Cox/Patrick Feeley,Matthew Cox/Patrick Feeley
Uru Slc/Muphasa Mc/Julio Sobol/Alejo Santanni/Martín Villanueva,Uru Slc/Muphasa Mc/Julio Sobol/Alejo Santanni/Martín Villanueva,Uru Slc/Muphasa Mc/Julio Sobol/Alejo Santanni/Martín Villanueva
Timothy Mills & Drianna Styles,Timothy Mills/Drianna Styles,Timothy Mills/Drianna Styles
Julian Perez/Zack Grimm/Esther Bent,Julian Perez/Zack Grimm/Esther Bent,Julian Perez/Zack Grimm/Esther Bent
Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird,Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird,Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird
박상철/박진복/이창우(날아라고양이),,
Jared Leto,Jared Leto,Jared Leto
Ryan Leslie,Ryan Leslie,Ryan Leslie
"Future,Young Thug",Future/Young Thug,Future/Young Thug
COPYRIGHT CONTROL/REITHLER-BARROS ERIC/SKLYARENKO SERGEI,REITHLER-BARROS ERIC/SKLYARENKO SERGEI,REITHLER-BARROS ERIC/SKLYARENKO SERGEI
Peewee Longway,Peewee Longway,Peewee Longway
YNW Melly,YNW Melly,YNW Melly
Shad da God,Shad da God,Shad da God
Nonc Nu & Da Wild Matous,Nonc Nu / Da Wild Matous,Nonc Nu/Da Wild Matous
فيفتي مصر,,
Jack Hoye & Diana Trippaers,Jack Hoye/Diana Trippaers,Jack Hoye/Diana Trippaers
Roland Orzabal,Roland Orzabal,Roland Orzabal
Steven Shaw,Steven Shaw,Steven Shaw
BELL ROBERT EARL/BELL RONALD/BOYCE DONALD/BROWN GEORGE M/GARDARSSON PALL/GUDMUNDSSON MAGNUS/HARALDSSON DANIEL AGUST/JONSSON MAGNUS/KJARTANSSON SIGURDUR/MICKENS ROBERT SPIKE/SMITH CLAYDES EUGENE/STEFANSSON BALDUR/STEPHENSEN STEPHAN/THOMAS DENNIS RONALD/THORARINSSON BIRGIR/THORGEIRSSON STEFAN ARNI/THRASTARDOTTIR HAFDIS HULD/WESTFIELD RICHARD ALLEN,BELL ROBERT EARL/BELL RONALD/BOYCE DONALD/BROWN GEORGE M/GARDARSSON PALL/GUDMUNDSSON MAGNUS/HARALDSSON DANIEL AGUST/JONSSON MAGNUS/KJARTANSSON SIGURDUR/MICKENS ROBERT SPIKE/SMITH CLAYDES EUGENE/STEFANSSON BALDUR/STEPHENSEN STEPHAN/THOMAS DENNIS RONALD/THORARINSSON BIRGIR/THORGEIRSSON STEFAN ARNI/THRASTARDOTTIR HAFDIS HULD/WESTFIELD RICHARD ALLEN,BELL ROBERT EARL/BELL RONALD/BOYCE DONALD/BROWN GEORGE M/GARDARSSON PALL/GUDMUNDSSON MAGNUS/HARALDSSON DANIEL AGUST/JONSSON MAGNUS/KJARTANSSON SIGURDUR/MICKENS ROBERT SPIKE/SMITH CLAYDES EUGENE/STEFANSSON BALDUR/STEPHENSEN STEPHAN/THOMAS DENNIS RONALD/THORARINSSON BIRGIR/THORGEIRSSON STEFAN ARNI/THRASTARDOTTIR HAFDIS HULD/WESTFIELD RICHARD ALLEN
Carlos David,Carlos David,Carlos David
János Bródy/Levente Szorenyi,János Bródy/Levente Szorenyi,János Bródy/Levente Szorenyi
Mlađan Dinkić/Saša Milošević/Sasa Milosevic Mare,,Mlađan Dinkić/Saša Milošević/Sasa Milosevic Mare
Martin O’Donnell/Michael Salvatori,Martin O’Donnell/Michael Salvatori,Martin O’Donnell/Michael Salvatori
Mark Sandman,Mark Sandman,Mark Sandman
"<Unknown>/margolis, joel a",margolis/joel a,margolis/joel a
Miguel Matamoros,Miguel Matamoros,Miguel Matamoros
Salvador A Garcia & Sal Garcia,Salvador A Garcia/Sal Garcia,Salvador A Garcia/Sal Garcia
Gustavo Cerati/Richard Coleman/Zeta Bosio,Gustavo Cerati/Richard Coleman/Zeta Bosio,Gustavo Cerati/Richard Coleman/Zeta Bosio
"June The Genius,YoungBoy Never Broke Again,Kodak Black",June The Genius/YoungBoy Never Broke Again/Kodak Black,June The Genius/YoungBoy Never Broke Again/Kodak Black
Eder Mata,Eder Mata,Eder Mata
"Jeff Williams, Casey Lee Williams & Alex Abraham",Jeff Williams/Casey Lee Williams/Alex Abraham,Jeff Williams/Casey Lee Williams/Alex Abraham
Ben Byrne/James Walsh/Mark Aubrey/Van Morrison/James Stelfox/Barry Westhead,Ben Byrne/James Walsh/Mark Aubrey/Van Morrison/James Stelfox/Barry Westhead,Ben Byrne/James Walsh/Mark Aubrey/Van Morrison/James Stelfox/Barry Westhead
Réginald Bastien & Gracia Delva,Réginald Bastien/Gracia Delva,Réginald Bastien/Gracia Delva
Manuel Meza O./Fabricio Ramirez Lopez,Manuel Meza O./Fabricio Ramirez Lopez,Manuel Meza O./Fabricio Ramirez Lopez
TCTS/Maia Wright/Hannah Wilson/Samuel O'Neill/Gustav Nyström,TCTS/Maia Wright/Hannah Wilson/Samuel O'Neill/Gustav Nyström,TCTS/Maia Wright/Hannah Wilson/Samuel O'Neill/Gustav Nyström
Toxic Crow & Lapiz Conciente,Toxic Crow/ Lapiz Conciente,Toxic Crow/Lapiz Conciente
Katie Gregson MacLeod,Katie Gregson MacLeod,Katie Gregson MacLeod
Charlie Louvin/Ira Louvin,Charlie Louvin/Ira Louvin,Charlie Louvin/Ira Louvin
Txus di Fellatio,Txus di Fellatio,Txus di Fellatio
EMI United Partnership Ltd./Asdee Music Ltd.,,EMI United Partnership Ltd./Asdee Music Ltd.
Crucial808/James Davis,Crucial808/James Davis,James Davis
Timothy Dwayne Jr. Tolliver,Timothy Dwayne Jr. Tolliver,Timothy Dwayne Jr. Tolliver
Oscar Solis,Oscar Solis,Oscar Solis
Alessandro Silveri,Alessandro Silveri,Alessandro Silveri
ECKERT ROSS ELIZABETH MS/ROSS TIMOTHY SCOTT JR (MR),,ECKERT ROSS ELIZABETH MS/ROSS TIMOTHY SCOTT JR
Tommy Shaw,Tommy Shaw,Tommy Shaw
Baxter Taylor/Shel Silverstein/Delta Music / Concert Archives,Baxter Taylor/Shel Silverstein,Baxter Taylor/Shel Silverstein/Delta Music/Concert Archives
Marquez Louder,Marquez Louder,Marquez Louder
Michel Pépé,Michel Pépé,Michel Pépé
Anthony Bray/Jeffrey Dunn/Conrad Lant,Anthony Bray/Jeffrey Dunn/Conrad Lant,Anthony Bray/Jeffrey Dunn/Conrad Lant
Denis Maksimov & StudioKolomna,Denis Maksimov/StudioKolomna,Denis Maksimov/StudioKolomna
Elin Lundgren/Hannes Torssell/Matilda Thompson/William Eggert,Elin Lundgren/Hannes Torssell/Matilda Thompson/William Eggert,Elin Lundgren/Hannes Torssell/Matilda Thompson/William Eggert
Eje Thelin,Eje Thelin,Eje Thelin
Espinoza Paz/Jimmy Humilde,Espinoza Paz/Jimmy Humilde,Espinoza Paz/Jimmy Humilde
D. Henley/J. Winding/Sybersound/Danny Kortchmar,D. Henley/J. Winding/Sybersound/Danny Kortchmar,D. Henley/J. Winding/Sybersound/Danny Kortchmar
Ramon Daniel Garza,Ramon Daniel Garza,Ramon Daniel Garza
Adam Mancini,Adam Mancini,Adam Mancini
John Oates/Sara Allen/Daryl Hall,John Oates/Sara Allen/Daryl Hall,John Oates/Sara Allen/Daryl Hall
Suzanne Vega,Suzanne Vega,Suzanne Vega
RedOne/Lady Gaga,RedOne/Lady Gaga,RedOne/Lady Gaga
Ashley Lauren Brooks,Ashley Lauren Brooks,Ashley Lauren Brooks
Michel Blavet,Michel Blavet,Michel Blavet
Simon Harris/Acid Fingers,Simon Harris/Acid Fingers,Simon Harris/Acid Fingers
Trevor Rockcliffe,Trevor Rockcliffe,Trevor Rockcliffe
Calvin Webb,Calvin Webb,Calvin Webb
BODAH REVY,BODAH REVY,BODAH REVY
Kofi Abraham,Kofi Abraham,Kofi Abraham
Matt Mahaffey/Bradly Zweig/Sascha Paladin,,Matt Mahaffey/Bradly Zweig/Sascha Paladin
nark sherry/M. Sherry/Mark Sherry,nark sherry/M. Sherry/Mark Sherry,nark sherry/M. Sherry/Mark Sherry
"Geo of Blue Scholars,Prometheus Brown,Geologic",Geo of Blue Scholars/Prometheus Brown/Geologic,Geo of Blue Scholars/Prometheus Brown/Geologic
Homer Flynn/Hardy Fox,Homer Flynn/Hardy Fox,Homer Flynn/Hardy Fox
香椎モイミ (Kashii Moimi),Kashii Moimi,
Nam Nguyễn Nhật,,Nam Nguyễn Nhật
Marvin Tarplin/Smokey Robinson,Marvin Tarplin/Smokey Robinson,Marvin Tarplin/Smokey Robinson
Marie Barnett,Marie Barnett,Marie Barnett
Taeshon Agee,Taeshon Agee,Taeshon Agee
Perla Limón & Alexander García,Perla Limón/Alexander García,Perla Limón/Alexander García
"Raini Walls, Pedro Muñoz & Rafael Jr Canales",,Raini Walls/Pedro Muñoz/Rafael Jr Canales
Ben Matthias,Ben Matthias,Ben Matthias
Cristobal Tapia De Veer,Cristobal Tapia De Veer,Cristobal Tapia De Veer
Califato 3/4/Sergio Ruíz/Lorenzo Soria/Esteban Espada/Manuel Chaparro/Francisco Morales,Califato 3/4/Sergio Ruíz/Lorenzo Soria/Esteban Espada/Manuel Chaparro/Francisco Morales,Califato 3/Sergio Ruíz/Lorenzo Soria/Esteban Espada/Manuel Chaparro/Francisco Morales
Wyman/Ho Bing/Harris Ho,Wyman/Ho Bing/Harris Ho,Wyman/Ho Bing/Harris Ho
ILYA/Ariana Grande/Savan Kotecha/Iggy Azalea/Max Martin,ILYA/Ariana Grande/Savan Kotecha/Iggy Azalea/Max Martin,ILYA/Ariana Grande/Savan Kotecha/Iggy Azalea/Max Martin
أحمد خضر الطرابلسي,,
صلاح الورفلي,,
James Walton,James Walton,James Walton
Noel Gallagher,Noel Gallagher,Noel Gallagher
Adnan Sami,Adnan Sami,Adnan Sami
"MF DOOM,Nathaniel Gosman,M. Schmitz",MF DOOM/Nathaniel Gosman/M. Schmitz,MF DOOM/Nathaniel Gosman/M. Schmitz
Raymond Bonheur/Claude Debussy,,Raymond Bonheur/Claude Debussy
La Estrella de David,,La Estrella de David
Kharisma Setiyawan,Kharisma Setiyawan,Kharisma Setiyawan
Ziad Bourji & Ziad Bourji & Ahmad Madi,Ziad Bourji /Ahmad Madi,Ziad Bourji/Ziad Bourji/Ahmad Madi
Yasushi Akimoto/Manabu Marutani,Yasushi Akimoto/Manabu Marutani,Yasushi Akimoto/Manabu Marutani
Sobakka,Sobakka,Sobakka
"BabyTron,Helluva Beats,Bamondabeat",BabyTron/Helluva Beats/Bamondabeat,BabyTron/Helluva Beats/Bamondabeat
Keith James/Mick Schultz/Jeremy Felton,Keith James/Mick Schultz/Jeremy Felton,Keith James/Mick Schultz/Jeremy Felton
Squirt Kelly,Squirt Kelly,Squirt Kelly
ALFORD LAVONNE/ALFRED LAURENT P/BAIN ANDREW HERRICK/FRANKLIN ERNEST/HENRY WAYNE SHARNE,ALFORD LAVONNE/ALFRED LAURENT P/BAIN ANDREW HERRICK/FRANKLIN ERNEST/HENRY WAYNE SHARNE,ALFORD LAVONNE/ALFRED LAURENT P/BAIN ANDREW HERRICK/FRANKLIN ERNEST/HENRY WAYNE SHARNE
Brian Potter/Larkin Arnold/Dennis Lambert,Brian Potter/Larkin Arnold/Dennis Lambert,Brian Potter/Larkin Arnold/Dennis Lambert
Sanjeev Darshan/Sameer,,Sanjeev Darshan/Sameer
"<Unknown>/Griego, Cedric",Griego/Cedric,Griego/Cedric
Shaheed Stewart,Shaheed Stewart,Shaheed Stewart
Miyoki Beats,Miyoki Beats,Miyoki Beats
Tim Winter/Paul Leisin/Peter Horsch,Tim Winter/Paul Leisin/Peter Horsch,Tim Winter/Paul Leisin/Peter Horsch
"George Khoury,Philip Baptiste",George Khoury/Philip Baptiste,George Khoury/Philip Baptiste
"<Unknown>/Naveed, Zohaib",Naveed/Zohaib,Naveed/Zohaib
Jean-Marie Leau/Zazie/Vincent Baguian,Jean-Marie Leau/Zazie/Vincent Baguian,Jean-Marie Leau/Zazie/Vincent Baguian
Magnifik & Cam Nacson & Djuro,Magnifik/Cam Nacson/Djuro,Magnifik/Cam Nacson/Djuro
Domingo Gomez,Domingo Gomez,Domingo Gomez
Angelica Isabella Monroy,Angelica Isabella Monroy,Angelica Isabella Monroy
Mantas Demando,Mantas Demando,Mantas Demando
Dorcas Cochran and Lenny Sanders/Unichapell Music Inc (BMI) (c/o Warner Chappell Music Inc),Dorcas Cochran/Lenny Sanders/c/o,Dorcas Cochran and Lenny Sanders/Unichapell Music Inc  (c/o Warner Chappell Music Inc)
Diaz & Soto,Diaz/Soto,Diaz/Soto
"Eve (JPN),JubyPhonic",Eve (JPN)/JubyPhonic,Eve/JubyPhonic
Gleb Samoyloff & the matrixx/Gleb Samoylov,Gleb Samoyloff & the matrixx/Gleb Samoylov,Gleb Samoyloff/the matrixx/Gleb Samoylov
Jalmaan/PrinceWhateverer,Jalmaan/PrinceWhateverer,Jalmaan/PrinceWhateverer
Trillo Beatz/Rodarius Green/Kendrell Mattox/Trentay Robinson/Drell On The Track,Trillo Beatz/Rodarius Green/Kendrell Mattox/Trentay Robinson/Drell On The Track,Trillo Beatz/Rodarius Green/Kendrell Mattox/Trentay Robinson/Drell On The Track
A ROESSEL VAN MAYDIEN R/C YARD MITCHELL R/PA MITCHELL & MAYDIEN,ROESSEL/VAN/MAYDIEN/R/C/YARD/MITCHELL/R/P/MITCHELL/&/MAYDIEN,A ROESSEL VAN MAYDIEN R/C YARD MITCHELL R/PA MITCHELL/MAYDIEN
Sister Monie Prod/Aaron Freedom Lyles/Unichappell Music Inc/Bartz Music Publishing,,Sister Monie Prod/Aaron Freedom Lyles/Unichappell Music Inc/Bartz Music Publishing
Joy Atul/Lakhwinder Maan,Joy Atul/Lakhwinder Maan,Joy Atul/Lakhwinder Maan
Zackary Nitzsche,,Zackary Nitzsche
Ludovico Einaudi,Ludovico Einaudi,Ludovico Einaudi
Spitz/Seiji Kameda/Masamune Kusano,Spitz/Seiji Kameda/Masamune Kusano,Spitz/Seiji Kameda/Masamune Kusano
C.C./S. Atan/Ismail Ahmad,C.C/S. Atan/Ismail Ahmad,C.C./S. Atan/Ismail Ahmad
Gabi De La 59,Gabi De La 59,Gabi De La 59
"<Unknown>/Abdilahi, Mohamed Sa'ed",Abdilahi/Mohamed Sa'ed,Abdilahi/Mohamed Sa'ed
Headhunter/Cogumelo Records,Headhunter,Headhunter/Cogumelo Records
Nawrras Music,Nawrras Music,Nawrras Music
Good News,Good News,Good News
Kevin Mglej/Julia Żugaj/Marek Walaszek/Jeremi Sikorski/Andrzej Jaworski,Kevin Mglej/Julia Żugaj/Marek Walaszek/Jeremi Sikorski/Andrzej Jaworski,Kevin Mglej/Julia Żugaj/Marek Walaszek/Jeremi Sikorski/Andrzej Jaworski
Caithlin Ellen DeMarrais/Rainer Maria/Thomas Kyle Fischer/William E C Kuehn,Caithlin Ellen DeMarrais/Rainer Maria/Thomas Kyle Fischer/William E C Kuehn,Caithlin Ellen DeMarrais/Rainer Maria/Thomas Kyle Fischer/William E C Kuehn
David Martínez,David Martínez,David Martínez
"Daniel Robinson, Jr.",Daniel Robinson  Jr.,Daniel Robinson/Jr.
Jairo Arturo Rodríguez Cáceres,Jairo Arturo Rodríguez Cáceres,Jairo Arturo Rodríguez Cáceres
Victoria,Victoria,Victoria
Larry Pignagnoli/Ottavio Bacciocchi/Ivana Spagna,,Larry Pignagnoli/Ottavio Bacciocchi/Ivana Spagna
Ceph,Ceph,Ceph
Gary Bolstad/Hannes Wader/Vincent Sorg/Die Toten Hosen,Gary Bolstad/Hannes Wader/Vincent Sorg/Die Toten Hosen,Gary Bolstad/Hannes Wader/Vincent Sorg/Die Toten Hosen
"SoFaygo,Clayco Suil",SoFaygo/Clayco Suil,SoFaygo/Clayco Suil
Silenxe 5 001,Silenxe 5 001,Silenxe 5 001
"Waka Flocka Flame,Lil Capp,Kebo Gotti",Waka Flocka Flame/Lil Capp/Kebo Gotti,Waka Flocka Flame/Lil Capp/Kebo Gotti
"Bill Peppers,Hal Blair,Claude Demetrius,Aaron Schroeder",Bill Peppers/Hal Blair/Claude Demetrius/Aaron Schroeder,Bill Peppers/Hal Blair/Claude Demetrius/Aaron Schroeder
"<Unknown>/Tomosoiu, Bogdan Ioan",,Tomosoiu/Bogdan Ioan
DJ Mehdi,DJ Mehdi,DJ Mehdi
Souleymane Kevin Kader Junior KONE,Souleymane Kevin Kader Junior KONE,Souleymane Kevin Kader Junior KONE
Richard Strauss/Otto Julius Bierbaum,Richard Strauss/Otto Julius Bierbaum,Richard Strauss/Otto Julius Bierbaum
Harald Naevdal,Harald Naevdal,Harald Naevdal
Gajus Stappen,Gajus Stappen,Gajus Stappen
WMA/Bilik Irina,,WMA/Bilik Irina
Malik Ross,Malik Ross,Malik Ross
Florence Price,Florence Price,Florence Price
Electr7cSense/eldarqualizer,,Electr7cSense/eldarqualizer
Ylva Dimberg/LDN Noise/숀 (SHAUN)/Kenzie,,Ylva Dimberg/LDN Noise/Kenzie
Mihail Ghenadie Fedorciuc,Mihail Ghenadie Fedorciuc,Mihail Ghenadie Fedorciuc
Bulmaro Bermúdez,Bulmaro Bermúdez,Bulmaro Bermúdez
Elias Nasser/Georges Mardirossian,,Elias Nasser/Georges Mardirossian
Alexander Sheperd,Alexander Sheperd,Alexander Sheperd
Vusumzi Ntshanga & Vusumzi,Vusumzi Ntshanga,Vusumzi Ntshanga/Vusumzi
RMC Mike,RMC Mike,RMC Mike
Najeeb Armani,Najeeb Armani,Najeeb Armani
"OMB Peezy,Quay Global",OMB Peezy/Quay Global,OMB Peezy/Quay Global
Ian Cowell/Nick Galvez,Ian Cowell/Nick Galvez,Ian Cowell/Nick Galvez
Walter James Russell,Walter James Russell,Walter James Russell
Andy Gannon/Axel Seyboth/Felix Seyboth/Marius Spohrer/Philipp Spohrer,Andy Gannon/Axel Seyboth/Felix Seyboth/Marius Spohrer/Philipp Spohrer,Andy Gannon/Axel Seyboth/Felix Seyboth/Marius Spohrer/Philipp Spohrer
Michael Lutz,Michael Lutz,Michael Lutz
Virginio Aiello,Virginio Aiello,Virginio Aiello
Miyuki Nakajima/Takeshi Kobayashi,Miyuki Nakajima/Takeshi Kobayashi,Miyuki Nakajima/Takeshi Kobayashi
"Mario Sinovcic, Eros Dorian & Mason Lister",Mario Sinovcic/Eros Dorian/Mason Lister,Mario Sinovcic/Eros Dorian/Mason Lister
Xzibit,Xzibit,Xzibit
Don Law/R. BAHAM,,Don Law/R. BAHAM
Bravo/Oleg Chilap/evgeny khavtan,,Bravo/Oleg Chilap/evgeny khavtan
Patty Hill/Musica Mexicana/FIDENCIO VILLANUEVA/Las Mañanitas A Mi Madre,Patty Hill/Musica Mexicana/FIDENCIO VILLANUEVA/Las Mañanitas A Mi Madre,Patty Hill/Musica Mexicana/FIDENCIO VILLANUEVA/Las Mañanitas A Mi Madre
Armand Amar,Armand Amar,Armand Amar
Anübix,Anübix,Anübix
Antolin Lene,Antolin Lene,Antolin Lene
Nathaniel Dean/Horace Straws,Nathaniel Dean/Horace Straws,Nathaniel Dean/Horace Straws
Kingsley O.,Kingsley O.,Kingsley O.
Robin George,Robin George,Robin George
Isaac Wilkins,Isaac Wilkins,Isaac Wilkins
Joel Corelitz,Joel Corelitz,Joel Corelitz
Varel/Bailly/Steve Allen,Varel/Bailly/Steve Allen,Varel/Bailly/Steve Allen
Eddie Berg & Harald Barrett,Eddie Berg/Harald Barrett,Eddie Berg/Harald Barrett
Howard Bernstein,,Howard Bernstein
Sabaton/Pär Sundström/Joakim Brodén,Sabaton/Pär Sundström/Joakim Brodén,Sabaton/Pär Sundström/Joakim Brodén
Raheem Bacon,Raheem Bacon,Raheem Bacon
Jerry Garcia/Robert Hunter,Jerry Garcia/Robert Hunter,Jerry Garcia/Robert Hunter
Liu Da/Wang Xiaoting/Dmitri Shostakovich,Liu Da/Wang Xiaoting/Dmitri Shostakovich,Liu Da/Wang Xiaoting/Dmitri Shostakovich
